Female - 2018,Male - 2018,Total - 2018
3.309999943,6,4.849999905
2.619999886,4.860000134,3.910000086
2.579999924,5.28000021,4.159999847
1.629999995,2.839999914,2.279999971
1.24000001,2.779999971,2.059999943
1.399999976,3.349999905,3.019999981
1.25,5.960000038,4.460000038
0.819999993,2.210000038,1.559999943
4.739999771,9.619999886,7.619999886
0.519999981,2.390000105,2.00999999
2.569999933,5.639999866,4.360000134
1.190000057,3.00999999,2.140000105
1.070000052,2.920000076,2.099999905
0.159999996,0.409999996,0.300000012
2.289999962,7.570000172,5.25
3.809999943,14.57999992,12.35000038
3.839999914,7.53000021,5.809999943
1.789999962,6.050000191,4.03000021
